sample_order,question_id,question,dense_single_agent_f1,dense_single_agent_answer_type,dense_single_agent_paragraph_count,dense_single_agent_section_count,dense_single_agent_figure_table_count,dense_single_agent_mixed_sources,evidence_aware_no_critic_f1,evidence_aware_no_critic_answer_type,evidence_aware_no_critic_paragraph_count,evidence_aware_no_critic_section_count,evidence_aware_no_critic_figure_table_count,evidence_aware_no_critic_mixed_sources,full_multi_agent_f1,full_multi_agent_answer_type,full_multi_agent_paragraph_count,full_multi_agent_section_count,full_multi_agent_figure_table_count,full_multi_agent_mixed_sources,f1_difference,answer_type
1,fc77d70c305fa80447b191248aba93da63ac3704,Which datasets are used?,0.896551724137931,extractive,4,1,0,True,0.12121212121212122,extractive,5,0,0,False,0.12121212121212122,extractive,5,0,0,False,-0.7753396029258098,extractive
2,53f74250948015c394e7b8438a2041fdeb330911,What are the deep learning architectures used in the task?,0.3333333333333333,extractive,5,0,0,False,0.0,extractive,5,0,0,False,0.0,extractive,5,0,0,False,-0.3333333333333333,extractive
3,17a1eff7993c47c54eddc7344e7454fbe64191cd,What experiments do they use to quantify the extent of interpretability?,0.6086956521739131,abstractive,4,0,1,True,0.0625,abstractive,5,0,0,False,0.0625,abstractive,5,0,0,False,-0.5461956521739131,abstractive
4,12c50dea84f9a8845795fa8b8c1679328bd66246,What datasets did they use for evaluation?,1.0,extractive,5,0,0,False,0.7692307692307693,extractive,5,0,0,False,0.7692307692307693,extractive,5,0,0,False,-0.23076923076923073,extractive
5,fc1679c714eab822431bbe96f0e9cf4079cd8b8d,What is their system's absolute accuracy?,0.0,abstractive,5,0,0,False,0.0,abstractive,5,0,0,False,0.0,abstractive,5,0,0,False,0.0,abstractive
6,58c6737070ef559e9220a8d08adc481fdcd53a24,What measures are used for evaluation?,0.0,extractive,3,0,2,True,0.0,extractive,5,0,0,False,0.0,extractive,5,0,0,False,0.0,extractive
7,b06512c17d99f9339ffdab12cedbc63501ff527e,Is fine-tuning required to incorporate these embeddings into existing models?,0.0,yes/no,5,0,0,False,0.0,yes/no,5,0,0,False,0.0,yes/no,5,0,0,False,0.0,yes/no
8,d859cc37799a508bbbe4270ed291ca6394afce2c,How are prominent topics idenified in Dabiq and Rumiyah?,0.2,abstractive,3,0,2,True,0.125,abstractive,3,0,2,True,0.125,abstractive,3,0,2,True,-0.07500000000000001,abstractive
9,d6191c4643201262a770947fc95a613f57bedb6b,Which collections of web documents are included in the corpus?,0.18181818181818182,extractive,5,0,0,False,0.18181818181818182,extractive,5,0,0,False,0.18181818181818182,extractive,5,0,0,False,0.0,extractive
10,6a14379fee26a39631aebd0e14511ce3756e42ad,What BERT models are used?,0.0,abstractive,5,0,0,False,0.0,abstractive,5,0,0,False,0.0,abstractive,5,0,0,False,0.0,abstractive
11,4625cfba3083346a96e573af5464bc26c34ec943,by how much did their model improve?,0.1818181818181818,extractive,4,0,1,True,0.1818181818181818,extractive,4,0,1,True,0.1818181818181818,extractive,4,0,1,True,0.0,extractive
12,1d9aeeaa6efa1367c22be0718f5a5635a73844bd,"What meaningful information does the GRU model capture, which traditional ML models do not?",0.43750000000000006,extractive,2,0,3,True,0.18181818181818182,extractive,3,0,2,True,0.18181818181818182,extractive,3,0,2,True,-0.25568181818181823,extractive
13,70148c8d0f345ea36200d5ba19d021924d98e759,What is the McGurk effect?,0.2807017543859649,abstractive,4,0,1,True,0.34146341463414637,abstractive,4,0,1,True,0.34146341463414637,abstractive,4,0,1,True,0.06076166024818147,abstractive
14,0752d71a0a1f73b3482a888313622ce9e9870d6e,what was the baseline?,0.11764705882352941,extractive,5,0,0,False,0.0,extractive,4,1,0,True,0.0,extractive,4,1,0,True,-0.11764705882352941,extractive
15,483a699563efcb8804e1861b18809279f21c7610,Was the approach used in this work to detect fake news fully supervised?,1.0,yes/no,4,1,0,True,1.0,yes/no,5,0,0,False,1.0,yes/no,5,0,0,False,0.0,yes/no
16,899ed05c460bf2aa0aa65101cad1986d4f622652,How big is dataset of car-speak language?,0.6896551724137931,extractive,5,0,0,False,0.6666666666666666,extractive,5,0,0,False,0.6666666666666666,extractive,5,0,0,False,-0.02298850574712652,extractive
17,9b4dc790e4ff49562992aae4fad3a38621fadd8b,what are the existing approaches?,0.0,extractive,5,0,0,False,0.0,extractive,5,0,0,False,0.0,extractive,5,0,0,False,0.0,extractive
18,ba28ce9a2f7e8524243adf288cc3f11055e667bb,Do they demonstrate why interdisciplinary insights are important?,0.0,yes/no,5,0,0,False,0.0,yes/no,5,0,0,False,0.0,yes/no,5,0,0,False,0.0,yes/no
19,197b276d0610ebfacd57ab46b0b29f3033c96a40,What methods were used for sentence classification?,0.125,abstractive,5,0,0,False,0.125,abstractive,4,0,1,True,0.125,abstractive,4,0,1,True,0.0,abstractive
20,27275fe9f6a9004639f9ac33c3a5767fea388a98,What hyperparameters are explored?,0.4166666666666667,abstractive,4,0,1,True,0.6,abstractive,5,0,0,False,0.6,abstractive,5,0,0,False,0.1833333333333333,abstractive
21,7e4ef0a4debc048b244b61b4f7dc2518b5b466c0,what phenomena do they mention is hard to capture?,0.25,abstractive,5,0,0,False,0.25,abstractive,5,0,0,False,0.25,abstractive,5,0,0,False,0.0,abstractive
22,3611a72f754de1e256fbd25b012197e1c24e8470,Do they remove seasonality from the time series?,0.0,unanswerable,5,0,0,False,0.0,unanswerable,5,0,0,False,0.0,unanswerable,5,0,0,False,0.0,unanswerable
23,861187338c5ad445b9acddba8f2c7688785667b1,Is the data de-identified?,1.0,yes/no,5,0,0,False,1.0,yes/no,5,0,0,False,1.0,yes/no,5,0,0,False,0.0,yes/no
24,7bd6a6ec230e1efb27d691762cc0674237dc7967,what data did they use?,0.0,extractive,3,0,2,True,0.42857142857142855,extractive,4,0,1,True,0.42857142857142855,extractive,4,0,1,True,0.42857142857142855,extractive
25,f5e6f43454332e0521a778db0b769481e23e7682,what are the pivot-based baselines?,0.43750000000000006,extractive,4,0,1,True,0.4242424242424242,extractive,5,0,0,False,0.4242424242424242,extractive,5,0,0,False,-0.013257575757575857,extractive
26,0689904db9b00a814e3109fb1698086370a28fa2,Which text embedding methodologies are used?,0.5,extractive,5,0,0,False,0.0,extractive,4,1,0,True,0.0,extractive,4,1,0,True,-0.5,extractive
27,dea9e7fe8e47da5e7f31d9b1a46ebe34e731a596,What type of system does the baseline classification use?,0.6666666666666667,extractive,5,0,0,False,0.375,extractive,5,0,0,False,0.375,extractive,5,0,0,False,-0.29166666666666674,extractive
28,c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,did they compare with other extractive summarization methods?,0.0,yes/no,5,0,0,False,0.0,yes/no,5,0,0,False,0.0,yes/no,5,0,0,False,0.0,yes/no
29,f903396d943541a8cc65edefb04ca37814ed30dd,What dataset do they use for analysis?,1.0,unanswerable,5,0,0,False,0.0,unanswerable,5,0,0,False,0.0,unanswerable,5,0,0,False,-1.0,unanswerable
30,f71b52e00e0be80c926f153b9fe0a06dd93af11e,How does final model rate on Likert scale?,0.21052631578947367,extractive,3,0,2,True,0.23076923076923075,extractive,4,0,1,True,0.23076923076923075,extractive,4,0,1,True,0.020242914979757082,extractive
31,31b92c03d5b9be96abcc1d588d10651703aff716,What was their highest recall score?,1.0,extractive,4,0,1,True,0.0,extractive,4,0,1,True,0.0,extractive,4,0,1,True,-1.0,extractive
32,af5730d82535464cedfa707a03415ac2e7a21295,What data sources do they use for creating their dataset?,0.0,extractive,4,0,1,True,0.0,extractive,4,0,1,True,0.0,extractive,4,0,1,True,0.0,extractive
33,61652a3da85196564401d616d251084a25ab4596,What is the size of the real-life dataset?,0.33333333333333337,extractive,4,0,1,True,0.0,extractive,5,0,0,False,0.0,extractive,5,0,0,False,-0.33333333333333337,extractive
34,e831041d50f3922265330fcbee5a980d0e2586dd,What is a normal reading paradigm?,0.689655172413793,extractive,4,1,0,True,0.689655172413793,extractive,5,0,0,False,0.689655172413793,extractive,5,0,0,False,0.0,extractive
35,7b4992e2d26577246a16ac0d1efc995ab4695d24,What was the baseline used?,0.0,extractive,5,0,0,False,0.0,extractive,5,0,0,False,0.0,extractive,5,0,0,False,0.0,extractive
36,f0848e7a339da0828278f6803ed7990366c975f0,Were other baselines tested to compare with the neural baseline?,0.0,extractive,5,0,0,False,0.0,extractive,5,0,0,False,0.0,extractive,5,0,0,False,0.0,extractive
